Restaurant Name,Country
AFTER PARTY BAR & GRILL,Rwanda
Agence Pub,Rwanda
ALEX COME AGAIN BAR KICUKIRO BRANCH,Rwanda
Amahumbezi Pub,Rwanda
Antonov Bar,Rwanda
Astro Bar & Restaurant,Rwanda
B Flex Bar,Rwanda
Bahamas Pub,Rwanda
Bar Dolce,Rwanda
Bar Filao,Rwanda
Bar Nyenyeri,Rwanda
Billy's Bistro & Bar,Rwanda
Blackstone Lounge Kigali,Rwanda
Bodega and Brew Kacyiru,Rwanda
Burrows Bar & Restaurant,Rwanda
Cafe Restaurant Olympiade,Rwanda
Carpe Diem Bistro,Rwanda
CARRINGTON Resto-Bar,Rwanda
Chez Guiness Bar,Rwanda
Chez John Restaurant,Rwanda
Chez Kiruhura,Rwanda
Cincinnati Bar & Grill,Rwanda
CKYC Lounge,Rwanda
Click Bar,Rwanda
Cocobean,Rwanda
Come Again Bar & Resto Giporoso,Rwanda
Come Again Kicukiro,Rwanda
Continental restaurant,Rwanda
Copenhagen Lounge,Rwanda
CRYSTAL LOUNGE - Rooftop Restaurant & Bar,Rwanda
Déjà Vu,Rwanda
East 24 Bar & Grill,Rwanda
Emerald Cafe and Restaurant Remera,Rwanda
Four Points by Sheraton Kigali,Rwanda
Gorillas Golf Hotel,Rwanda
Grand Legacy Hotel,Rwanda
Great Wall Chinese Restaurant,Rwanda
Green Corner,Rwanda
H2O Lounge,Rwanda
Happy Park,Rwanda
HAVANA BAR AND RESTO,Rwanda
Heroes Lounge,Rwanda
Hôtel Chez Lando,Rwanda
Hôtel des Mille Collines,Rwanda
Hotel Villa Portofino Kigali,Rwanda
HQ LOUNGE,Rwanda
Inzozi Africa House B&B,Rwanda
Jollof Kigali,Rwanda
Juru Garden Bar,Rwanda
Kari-Beau Restaurant,Rwanda
Kigali Diplomat Hotel,Rwanda
Kigali Marriott Hotel,Rwanda
Kigali Serena Hotel,Rwanda
Kigali Sport Bar,Rwanda
Kiruhura Disque Orange,Rwanda
La Sanitas,Rwanda
Lemigo Hotel,Rwanda
Maestro Kitchen,Rwanda
Maison Noire Bar & Restaurant,Rwanda
Maracana Rwanda,Rwanda
Meze Fresh,Rwanda
Missed Call Pub,Rwanda
Nobleza Hotel,Rwanda
Onomo Hotel,Rwanda
Oyster Bar & Grill,Rwanda
Paddock Bar,Rwanda
Park Inn by Radisson Kigali,Rwanda
Pili Pili,Rwanda
Plus 250,Rwanda
Quelque Part Resto Bar,Rwanda
RELAX BAR & GRILL,Rwanda
Repub Lounge,Rwanda
Resto-Bar Chez John Maradona,Rwanda
Riders Lounge Kigali,Rwanda
Rio de Gikondo Sport Bar & Accomodation,Rwanda
Roasters CHOMAZONE Restaurant,Rwanda
Rosty Club,Rwanda
Sky Lounge,Rwanda
Suka Bar & Café,Rwanda
Sundowner,Rwanda
Ten to Two Bar Resto,Rwanda
The B Lounge,Rwanda
THE BELLO RESTAURANT,Rwanda
The Green Lounge Bar & Restaurant,Rwanda
The Grid Kigali,Rwanda
The Manor Hotel,Rwanda
The SkySports Lounge,Rwanda
Torino Bar & Restaurant,Rwanda
Tropical Bar-Restaurant-Rounge,Rwanda
Ubumwe Grande Hotel,Rwanda
Uncles Restaurant,Rwanda
Urban by CityBlue Kigali,Rwanda
